id,file,junit_status,category,subcategory,expected_action,task1_impact,stable_6of6,message
tests/unit/test_lexer_p0a_deterministic.py::TestP0A复合词压力::test_清空白名单后仍整体成词,tests/unit/test_lexer_p0a_deterministic.py,failure,词法层-切词行为,,词法轮：与 R57 任务1 同族，逐条归因（含 R36 钉现状对表）,,True,"AssertionError: Lists differ: [('KEYWORD', '导出'), ('IDENTIFIER', '事件表')] != [('IDENTIFIER', '导出事件表')]  First differing element 0: ('KEYWORD', '导出') ('IDENTIFIER', '导出事件表')  First list contains 1 additional elements. First extra element 1: ('IDENTIFIER', '事件表')  - [('KEYWORD', '导出'), ('IDENTIFIER', '"
tests/unit/test_v35_chained_call.py::TestChainedAttributeAssignment::test_two_level_attr_assign,tests/unit/test_v35_chained_call.py,failure,语义债-代码生成断言,,语义轮：codegen 字符串断言族（点号/句号、成员赋值形态）,,True,"assert ('b.a.x = 42' in ""# 由光明编译器生成\n# 源文件: 光明代码\n\ndef _light_trunc_div(a, b):\n    return a / b\n\nimport sys\nimport os\nimport ctypes\nfro...b = B()\n# LIGHT_SRC:6\n_light_attr_set(b, 'a', A())\n# LIGHT_SRC:7\n_light_attr_set(_light_attr_get(b, 'a'), 'x', 42)"" or '.x = 42' in ""# 由光明编译器生成\n# 源文件:"
tests/unit/test_v35_chained_call.py::TestChainedAttributeAssignment::test_self_chain_assign,tests/unit/test_v35_chained_call.py,failure,语义债-代码生成断言,,语义轮：codegen 字符串断言族（点号/句号、成员赋值形态）,,True,"assert ('self.inner.val' in ""# 由光明编译器生成\n# 源文件: 光明代码\n\ndef _light_trunc_div(a, b):\n    return a / b\n\nimport sys\nimport os\nimport ctypes\nfro... set_val(self, self, v):\n        # LIGHT_SRC:4\n        _light_attr_set(_light_attr_get(self, 'inner'), 'val', v)\n\n"" or '.inner.val' in ""# 由光明编译器生成\"
tests/unit/test_v35_chained_call.py::TestChainedAttributeAssignment::test_three_level_attr_assign,tests/unit/test_v35_chained_call.py,failure,语义债-代码生成断言,,语义轮：codegen 字符串断言族（点号/句号、成员赋值形态）,,True,"assert ('a.b.c.val = 99' in ""# 由光明编译器生成\n# 源文件: 光明代码\n\ndef _light_trunc_div(a, b):\n    return a / b\n\nimport sys\nimport os\nimport ctypes\nfro...attr_get(a, 'b'), 'c', C())\n# LIGHT_SRC:10\n_light_attr_set(_light_attr_get(_light_attr_get(a, 'b'), 'c'), 'val', 99)"" or '.val = 99' in ""# 由光明编译器生成\n"
tests/unit/test_v35_chained_call.py::TestChainedAttributeAssignment::test_attr_assign_with_expr,tests/unit/test_v35_chained_call.py,failure,语义债-代码生成断言,,语义轮：codegen 字符串断言族（点号/句号、成员赋值形态）,,True,"assert 'a.x = ' in ""# 由光明编译器生成\n# 源文件: 光明代码\n\ndef _light_trunc_div(a, b):\n    return a / b\n\nimport sys\nimport os\nimport ctypes\nfro... _v\n\n# LIGHT_SRC:1\nclass A:\n    x = 0\n\n# LIGHT_SRC:3\na = A()\n# LIGHT_SRC:4\n_light_attr_set(a, 'x', (10 + 20))"""
tests/_test_null_safety.py::TestBackwardsCompatibility::test_paragraph_call,tests/_test_null_safety.py,failure,解析层-语法错误,「期望'为'或'等于'，但得到「。」」——疑与 G5（赋值无空格）同源，需归因,疑与 G5（赋值无空格）同源：R57 任务1 顺带评估后复查，不许扩大改动面,,True,"parser_core.ParseError:  ┌─ 语法错误 │ 原因: 发现 2 个语法错误（下面详列前 2 个，建议从第 1 个开始修）:  错误 1/2:  ┌─ 语法错误 │ 位置: 行 1, 列 11 │ 原因: 无法识别的语法元素：'：'。请检查语句是否正确，或参考光明语法文档。 │ 附近: '：' └─  ---  错误 2/2:  ┌─ 语法错误 │ 位置: 行 2, 列 1 │ 原因: 缩进不正确：这一行的缩进层级没有对应的语句块。请检查上一条语句是否以「：」结尾、或本行缩进是否多/少了一级。 │ 附近: '4' └─ └─"
tests/integration/test_class_system.py::TestClassInheritance::test_constructor_with_inheritance,tests/integration/test_class_system.py,failure,语义债-类/成员访问,「己」成员名未定义（己X 族）,语义轮：`己X` 未定义族归因（类/成员访问链路）,,True,NameError: name '己名字' is not defined
tests/test_async_io_light.py::TestTLS异步读腿::test_tls异步读体拿到完整体且不占用事件循环,tests/test_async_io_light.py,error,环境红-缺依赖,cryptography,环境红：永久豁免（0.82 不装第三方库为既定口径）；若环境决策改变（装 cryptography/lunardate/requests）可整类解锁,,True,"failed on setup with ""ModuleNotFoundError: No module named 'cryptography'"""
tests/test_async_io_light.py::TestTLS异步读腿::test_两路TLS串行与并发的关系,tests/test_async_io_light.py,error,环境红-缺依赖,cryptography,环境红：永久豁免（0.82 不装第三方库为既定口径）；若环境决策改变（装 cryptography/lunardate/requests）可整类解锁,,True,"failed on setup with ""ModuleNotFoundError: No module named 'cryptography'"""
tests/test_async_io_light.py::TestTLS异步读腿::test_tls异步腿的读超时抛读取错误,tests/test_async_io_light.py,error,环境红-缺依赖,cryptography,环境红：永久豁免（0.82 不装第三方库为既定口径）；若环境决策改变（装 cryptography/lunardate/requests）可整类解锁,,True,"failed on setup with ""ModuleNotFoundError: No module named 'cryptography'"""
tests/_test_null_safety.py::TestNullSafetyBasic::test_unwrap_on_nullable_variable,tests/_test_null_safety.py,failure,语义债-其他,,逐条归因：stdlib_phase3 网络运行时行为、URL 编码、null_safety 断言、R13B/R13C 对拍等,,True,AssertionError: unexpectedly None
tests/unit/test_原生腿_R13C_对拍扩展.py::test_URL编码解码,tests/unit/test_原生腿_R13C_对拍扩展.py,failure,语义债-其他,,逐条归因：stdlib_phase3 网络运行时行为、URL 编码、null_safety 断言、R13B/R13C 对拍等,,True,"Failed: 实际=['a%20b%26c%3D1', 'a b&c=1', 'path/to?q=光明'] 期望=['a%20b%26c%3D1', 'a b&c=1', 'path/to?q=奥楥']"
tests/test_parser.py::TestVariableDeclaration::test_variable_with_expression,tests/test_parser.py,failure,解析层-语法错误,「期望'为'或'等于'，但得到「。」」——疑与 G5（赋值无空格）同源，需归因,疑与 G5（赋值无空格）同源：R57 任务1 顺带评估后复查，不许扩大改动面,,True,"parser_core.ParseError:  ┌─ 语法错误 │ 位置: 行 1, 列 8 │ 原因: 期望'为'或'等于'，但得到 「。」 │ 附近: '。' │ 建议: 句号「。」用于结束语句。如果这不是语句结尾，请检查表达式是否完整。 └─"
tests/test_parser.py::TestExpressions::test_arithmetic_expression,tests/test_parser.py,failure,解析层-语法错误,「期望'为'或'等于'，但得到「。」」——疑与 G5（赋值无空格）同源，需归因,疑与 G5（赋值无空格）同源：R57 任务1 顺带评估后复查，不许扩大改动面,,True,"parser_core.ParseError:  ┌─ 语法错误 │ 位置: 行 1, 列 8 │ 原因: 期望'为'或'等于'，但得到 「。」 │ 附近: '。' │ 建议: 句号「。」用于结束语句。如果这不是语句结尾，请检查表达式是否完整。 └─"
tests/test_parser.py::TestExpressions::test_nested_expression,tests/test_parser.py,failure,解析层-语法错误,「期望'为'或'等于'，但得到「。」」——疑与 G5（赋值无空格）同源，需归因,疑与 G5（赋值无空格）同源：R57 任务1 顺带评估后复查，不许扩大改动面,,True,"parser_core.ParseError:  ┌─ 语法错误 │ 位置: 行 1, 列 10 │ 原因: 期望'为'或'等于'，但得到 「。」 │ 附近: '。' │ 建议: 句号「。」用于结束语句。如果这不是语句结尾，请检查表达式是否完整。 └─"
tests/test_parser.py::TestFunctionDefinition::test_function_with_body,tests/test_parser.py,failure,解析层-语法错误,「期望'为'或'等于'，但得到「。」」——疑与 G5（赋值无空格）同源，需归因,疑与 G5（赋值无空格）同源：R57 任务1 顺带评估后复查，不许扩大改动面,,True,"parser_core.ParseError:  ┌─ 语法错误 │ 位置: 行 2, 列 10 │ 原因: 期望'为'或'等于'，但得到 「。」 │ 附近: '。' │ 建议: 句号「。」用于结束语句。如果这不是语句结尾，请检查表达式是否完整。 └─"
tests/unit/test_l0_char_alias_async_yi.py::TestAsyncCharAliasTables::test_异_进复合词保护表,tests/unit/test_l0_char_alias_async_yi.py,failure,词法层-单字保护/安全表,单字别名未进复合词安全表（frozenset() 为空）,需归因：8 条断言 frozenset() 为空，疑运行期表构造/加载问题，词法轮处置,,True,AssertionError: '异' not found in frozenset()
tests/unit/test_l0_char_alias_const_chang.py::TestConstModifierTables::test_常_进复合词保护表,tests/unit/test_l0_char_alias_const_chang.py,failure,词法层-单字保护/安全表,单字别名未进复合词安全表（frozenset() 为空）,需归因：8 条断言 frozenset() 为空，疑运行期表构造/加载问题，词法轮处置,,True,AssertionError: '常' not found in frozenset()
tests/unit/test_modifier_await_aliases.py::TestAliasTableMembership::test_等_已进复合词安全表,tests/unit/test_modifier_await_aliases.py,failure,词法层-单字保护/安全表,单字别名未进复合词安全表（frozenset() 为空）,需归因：8 条断言 frozenset() 为空，疑运行期表构造/加载问题，词法轮处置,,True,AssertionError: '等' not found in frozenset()
tests/_test_null_safety.py::TestNullSafetyArithmetic::test_operation_without_unwrap,tests/_test_null_safety.py,failure,语义债-其他,,逐条归因：stdlib_phase3 网络运行时行为、URL 编码、null_safety 断言、R13B/R13C 对拍等,,True,AssertionError: False is not true : 期望可空值参与运算时报错，但得到: []
tests/integration/test_class_system.py::TestClassBasic::test_class_with_attributes,tests/integration/test_class_system.py,failure,语义债-类/成员访问,「己」成员名未定义（己X 族）,语义轮：`己X` 未定义族归因（类/成员访问链路）,,True,NameError: name '己姓名' is not defined
tests/integration/test_class_system.py::TestMethodOverride::test_method_override,tests/integration/test_class_system.py,failure,语义债-类/成员访问,「己」成员名未定义（己X 族）,语义轮：`己X` 未定义族归因（类/成员访问链路）,,True,NameError: name '己半径' is not defined
tests/integration/test_class_system.py::TestClassAdvanced::test_self_method_call,tests/integration/test_class_system.py,failure,语义债-类/成员访问,「己」成员名未定义（己X 族）,语义轮：`己X` 未定义族归因（类/成员访问链路）,,True,NameError: name '己值' is not defined
tests/_test_null_safety.py::TestNullSafetyFunctionCall::test_func_non_nullable_param_with_nullable_arg,tests/_test_null_safety.py,failure,解析层-语法错误,「期望'为'或'等于'，但得到「。」」——疑与 G5（赋值无空格）同源，需归因,疑与 G5（赋值无空格）同源：R57 任务1 顺带评估后复查，不许扩大改动面,,True,"parser_core.ParseError:  ┌─ 语法错误 │ 原因: 发现 2 个语法错误（下面详列前 2 个，建议从第 1 个开始修）:  错误 1/2:  ┌─ 语法错误 │ 位置: 行 1, 列 13 │ 原因: 无法识别的语法元素：'：'。请检查语句是否正确，或参考光明语法文档。 │ 附近: '：' └─  ---  错误 2/2:  ┌─ 语法错误 │ 位置: 行 2, 列 1 │ 原因: 缩进不正确：这一行的缩进层级没有对应的语句块。请检查上一条语句是否以「：」结尾、或本行缩进是否多/少了一级。 │ 附近: '4' └─ └─"
tests/unit/test_原生腿_R13B_能力扩展.py::Test行政区划扩展::test_O0_行政区划代码_对拍与扩展,tests/unit/test_原生腿_R13B_能力扩展.py,failure,语义债-其他,,逐条归因：stdlib_phase3 网络运行时行为、URL 编码、null_safety 断言、R13B/R13C 对拍等,,True,AttributeError: 'ChinaRegion' object has no attribute '_region_code_map'
tests/test_parser.py::TestFunctionCall::test_call_in_expression,tests/test_parser.py,failure,语义债-其他,,逐条归因：stdlib_phase3 网络运行时行为、URL 编码、null_safety 断言、R13B/R13C 对拍等,,True,"assert False  +  where False = isinstance(《设结果为段落计算》(甲, 乙), VarDecl)"
tests/test_parser.py::TestNoSpaceCode::test_no_space_variable,tests/test_parser.py,failure,解析层-语法错误,「期望'为'或'等于'，但得到「。」」——疑与 G5（赋值无空格）同源，需归因,疑与 G5（赋值无空格）同源：R57 任务1 顺带评估后复查，不许扩大改动面,,True,"parser_core.ParseError:  ┌─ 语法错误 │ 位置: 行 1, 列 7 │ 原因: 期望'为'或'等于'，但得到 「。」 │ 附近: '。' │ 建议: 句号「。」用于结束语句。如果这不是语句结尾，请检查表达式是否完整。 └─"
tests/unit/test_break_continue_aliases.py::TestBreakContinueAliasTables::test_断_跃_已进复合词安全表,tests/unit/test_break_continue_aliases.py,failure,词法层-单字保护/安全表,单字别名未进复合词安全表（frozenset() 为空）,需归因：8 条断言 frozenset() 为空，疑运行期表构造/加载问题，词法轮处置,,True,AssertionError: '断' not found in frozenset()
tests/unit/test_interface_aliases.py::TestImplementsAliasTables::test_现_已进复合词安全表,tests/unit/test_interface_aliases.py,failure,词法层-单字保护/安全表,单字别名未进复合词安全表（frozenset() 为空）,需归因：8 条断言 frozenset() 为空，疑运行期表构造/加载问题，词法轮处置,,True,AssertionError: '现' not found in frozenset()
tests/unit/test_l0_char_aliases_paradigm_ac.py::TestParadigmACTablesUntouched::test_引_本来就是关键字,tests/unit/test_l0_char_aliases_paradigm_ac.py,failure,词法层-单字保护/安全表,单字别名未进复合词安全表（frozenset() 为空）,需归因：8 条断言 frozenset() 为空，疑运行期表构造/加载问题，词法轮处置,,True,AssertionError: '引' not found in frozenset()
tests/unit/test_lexer_perf.py::TestLexerPerformance::test_lexer_correctness_smoke,tests/unit/test_lexer_perf.py,failure,词法层-切词行为,G5 同源：`甲为三` 未切分、`为` 丢失,词法轮：与 R57 任务1 同族，逐条归因（含 R36 钉现状对表）,预计转绿（条件：`甲为三` 由任务1a 顺带修；否则保持红并登记）,True,"AssertionError: '为' not found in ['设', '甲为三', '。', '打印', '甲', '加', 5, '。', None]"
tests/unit/test_lexer_perf.py::TestLexerPerformance::test_lexer_performance_10000_lines,tests/unit/test_lexer_perf.py,failure,性能断言-墙钟,G4：并行下墙钟假红（3.6s/2.5s > 2.0s 阈值）,本轮 R57 任务2 处置（阈值放宽/相对度量，留痕）,任务2 处置（本轮）,False,AssertionError: 2.544814493972808 not less than 2.0 : 词法分析耗时 2.5448 秒，超过 2.0 秒限制
tests/unit/test_examples_run.py::TestExampleFilesRun::test_all_examples_output,tests/unit/test_examples_run.py,failure,examples 聚合门,examples 运行异常聚合（含 4 例词法红在内）,R57 任务1 落地后复查（聚合 9 例 example 异常，含 4 例词法红，可能部分转绿）,部分受任务1 影响：聚合 9 例 example 异常，4 例词法红修复后是否全绿取决于其余 5 例,True,"AssertionError: Lists differ: [] != [""hello.light: 运行异常 -> \n┌─ 语法错误\n│ 位置: 行 [1216 chars]ned""]  Second list contains 9 additional elements. First extra element 0: ""hello.light: 运行异常 -> \n┌─ 语法错误\n│ 位置: 行 18, 列 9\n│ 原因: 期望'为'或'等于'，但得到 「\n」\n│ 附近: '\n'\n└─""  Diff is 1643 characters long. Set self.max"
tests/integration/test_class_system.py::TestMultipleClasses::test_multiple_classes_in_one_file,tests/integration/test_class_system.py,failure,语义债-类/成员访问,「己」成员名未定义（己X 族）,语义轮：`己X` 未定义族归因（类/成员访问链路）,,True,NameError: name '己品牌' is not defined
